Type,Prefix,Tag,Description,text upper button,text lower button,Tag upper button,Tag lower button
2,DSI_090114A,DSI-090114A,UCR-FFL-CTRL,Activate,Remove,DSI_090114A_OSS,DSI_090114A_OSR
2,DSI_090115A,DSI-090115A,UCR-FFL-CTRL,Activate,Remove,DSI_090115A_OSS,DSI_090115A_OSR
2,DSI_100101A,DSI-100101A,MSR-HVAC,Activate,Remove,DSI_100101A_OSS,DSI_100101A_OSR
2,DSI_100102A,DSI-100102A,MSR-SWITCH,Activate,Remove,DSI_100102A_OSS,DSI_100102A_OSR
2,DSI_100103A,DSI-100103A,MSR-SWITCH,Activate,Remove,DSI_100103A_OSS,DSI_100103A_OSR
2,DSI_100104A,DSI-100104A,MSR-BATTERY,Activate,Remove,DSI_100104A_OSS,DSI_100104A_OSR
2,DSI_100105A,DSI-100105A,MSR-BASEMENT,Activate,Remove,DSI_100105A_OSS,DSI_100105A_OSR
2,DSI_100106A,DSI-100106A,MSR-BASEMENT,Activate,Remove,DSI_100106A_OSS,DSI_100106A_OSR
2,DSI_110101A,DSI-110101A,LER_4-EQUIP,Activate,Remove,DSI_110101A_OSS,DSI_110101A_OSR
2,DSI_110102A,DSI-110102A,LER_4-EQUIP,Activate,Remove,DSI_110102A_OSS,DSI_110102A_OSR
2,DSI_110105A,DSI-110105A,LER_4-HVAC,Activate,Remove,DSI_110105A_OSS,DSI_110105A_OSR
2,DSI_110106A,DSI-110106A,LER_4-BATTERY,Activate,Remove,DSI_110106A_OSS,DSI_110106A_OSR
2,DSI_110109A,DSI-110109A,LER_4-STORE,Activate,Remove,DSI_110109A_OSS,DSI_110109A_OSR
2,DSI_110110A,DSI-110110A,LER_4-FFL,Activate,Remove,DSI_110110A_OSS,DSI_110110A_OSR
2,DSI_110111A,DSI-110111A,LER_4-FFL,Activate,Remove,DSI_110111A_OSS,DSI_110111A_OSR
2,DSI_101309R,DSI-101309R,SUB_1-CHARG,Activate,Remove,DSI_101309R_OSS,DSI_101309R_OSR
2,DSI_101310R,DSI-101310R,SUB_1-CHARG,Activate,Remove,DSI_101310R_OSS,DSI_101310R_OSR
2,DSI_101311A,DSI-101311A,SUB_1-BASEMENT,Activate,Remove,DSI_101311A_OSS,DSI_101311A_OSR
2,DSI_101312A,DSI-101312A,SUB_1-BASEMENT,Activate,Remove,DSI_101312A_OSS,DSI_101312A_OSR
2,DSI_101301A,DSI-101301A,SUB_1-HT,Activate,Remove,DSI_101301A_OSS,DSI_101301A_OSR
2,DSI_101303A,DSI-101303A,SUB_1-LT,Activate,Remove,DSI_101303A_OSS,DSI_101303A_OSR
2,DSI_101304A,DSI-101304A,SUB_1-LT,Activate,Remove,DSI_101304A_OSS,DSI_101304A_OSR
2,DSI_101302A,DSI-101302A,SUB_1-HT,Activate,Remove,DSI_101302A_OSS,DSI_101302A_OSR
2,DSI_101305R,DSI-101305R,SUB_1-GEN,Activate,Remove,DSI_101305R_OSS,DSI_101305R_OSR
2,DSI_101306R,DSI-101306R,SUB_1-GEN,Activate,Remove,DSI_101306R_OSS,DSI_101306R_OSR
